Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Education,Q5_Occupation,Q6_Monthly_Income,Q7_Sustainability_Awareness_1to5,Q8_Action_PublicTransport,Q8_Action_EcoProducts,Q8_Action_PlasticReduce,Q8_Action_EnergyConserve,Q8_Action_WasteSegregation,Q8_Action_DietChange,Q8_Action_SolarEnergy,Q8_Action_None,Q9_EcoChoice_Frequency,Q10_Primary_Commute,Q11_EnvImpact_OnPurchase_1to5,Q12_App_Comfort,Q13_App_UPI,Q13_App_Fitness,Q13_App_Loyalty,Q13_App_FoodDelivery,Q13_App_Ecommerce,Q13_App_Fintech,Q13_App_None,Q14_DataTracking_Consent,Q15_Likelihood_Download_1to5,Q16_Reward_Cashback,Q16_Reward_EcoDiscounts,Q16_Reward_Vouchers,Q16_Reward_TreePlanting,Q16_Reward_Leaderboard,Q16_Reward_Insurance,Q16_Reward_NGO,Q17_WTP_Premium_Subscription,Q18_Monthly_EcoSpend_Category,Q19_Price_Premium_Willingness,Q20_Brand_Trust_1to5,Q21_Barrier_TooExpensive,Q21_Barrier_DontKnowImpact,Q21_Barrier_Inconvenient,Q21_Barrier_NoImpact,Q21_Barrier_TimeConstraint,Q21_Barrier_None,Q22_BrandPref_OrganicFood,Q22_BrandPref_SustFashion,Q22_BrandPref_EV,Q22_BrandPref_CleanBeauty,Q22_BrandPref_HomeKitchen,Q22_BrandPref_GreenTravel,Q22_BrandPref_Solar,Q22_BrandPref_FinancialProducts,Q23_Social_Influence_1to5,Q24_Group_Challenge_Interest,Q25_NPS_0to10,Q26_Environmental_Identity,Q27_Loss_Aversion_Type,Q28_Rewards_Engagement_Depth,Q29_Household_Decision_Role,Q30_Channel_Instagram,Q30_Channel_WhatsApp,Q30_Channel_LinkedIn,Q30_Channel_NewsDigital,Q30_Channel_FriendsFamily,Q30_Channel_OTTAds,Q30_Channel_Influencer,Q30_Channel_Google,TARGET_Will_Adopt_App_0or1,TARGET_Monthly_EcoSpend_INR,TARGET_WTP_Monthly_INR,Noise_Flag,Internal_Tech_Score,Internal_Green_Score,Internal_Spend_Power,Internal_Social_Score
GL2024446,25-34,Female,Tier-2,High school or below,Salaried-Private,60k-1L,2,0,0,0,0,0,0,0,1,Frequently,Two-wheeler,2,Somewhat comfortable,1,0,1,1,1,0,0,Not willing,3,0,0,0,0,0,0,1,100-199/mo,Zero,Up to 10% more,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No-prefer solo,6,Not relevant,Loss motivated (lose coins),Check occasionally,Decide independently,1,0,0,0,0,0,0,0,0,0.0,173.0,0,0.402,0.1777,0.3408,0.2302
GL2024447,25-34,Male,Metro,Undergraduate,Salaried-Govt,15k-30k,3,1,1,1,1,0,1,1,0,Frequently,Two-wheeler,3,Somewhat comfortable,1,0,0,0,1,0,0,Willing if improves rewards,2,0,0,0,0,1,0,0,Up to 49/mo,1500-3000,No premium,3,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,Maybe depends,3,Care but not central,Gain motivated (earn coins),Check occasionally,Decide independently,1,0,1,0,0,0,0,0,0,2343.0,30.0,0,0.2524,0.4371,0.3104,0.2006
GL2024448,35-44,Female,Metro,High school or below,Business owner,60k-1L,2,1,0,0,0,0,0,0,0,Occasionally,Two-wheeler,2,Very comfortable,1,1,1,1,1,0,0,Willing if anonymized,2,0,1,1,0,0,0,0,50-99/mo,1500-3000,Price irrelevant,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,No-prefer solo,4,Not relevant,Gain motivated (earn coins),Rarely check,Joint with spouse,0,1,0,0,1,0,0,0,1,2092.0,84.0,0,0.2936,0.2893,0.4822,0.3155
GL2024449,18-24,Male,Rural,High school or below,Student,30k-60k,2,1,0,1,1,0,0,0,0,Always,Two-wheeler,3,Somewhat comfortable,0,0,0,0,0,1,0,Fully willing,2,0,0,0,0,0,0,0,50-99/mo,500-1500,No premium,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,Maybe depends,2,Care but not central,Neither,Strategically maximise,Decide independently,0,1,0,0,0,0,0,0,0,947.0,66.0,0,0.3245,0.2272,0.3138,0.0562
GL2024450,18-24,Male,Tier-3,Undergraduate,Student,15k-30k,3,0,0,1,0,1,0,0,0,Occasionally,Bus/Auto,2,Somewhat comfortable,1,0,0,1,1,0,0,Willing if improves rewards,2,0,0,1,0,0,0,0,100-199/mo,Under 500,Up to 20% more,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2,Maybe depends,2,Not relevant,Gain motivated (earn coins),Strategically maximise,Decide independently,1,1,0,0,0,0,0,0,1,227.0,154.0,0,0.456,0.2799,0.1272,0.3067
GL2024451,18-24,Non-binary/Other,Metro,Postgraduate,Student,30k-60k,3,0,1,1,1,1,0,0,0,Rarely,Metro/Train,3,Very comfortable,0,1,1,1,0,0,0,Fully willing,2,0,0,0,0,0,0,0,200-399/mo,Under 500,Up to 10% more,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Yes-love it,3,Care but not central,Both equal,Check occasionally,Decide for household,0,0,0,1,0,0,0,1,1,251.0,297.0,0,0.6376,0.4061,0.3419,0.3524
GL2024452,18-24,Male,Tier-3,Postgraduate,Salaried-Private,15k-30k,3,0,0,1,1,0,0,0,0,Occasionally,Two-wheeler,2,Very comfortable,0,0,1,0,0,0,0,Willing if improves rewards,3,1,0,0,0,0,0,0,Free only,Above 6000,No premium,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,Maybe depends,5,Aware not priority,Loss motivated (lose coins),Check occasionally,Decide for household,0,0,1,0,0,0,0,0,0,6680.0,0.0,0,0.5753,0.3801,0.1953,0.3354
GL2024453,25-34,Female,Tier-3,Undergraduate,Self-employed,Below 15k,2,0,0,0,0,0,0,0,1,Never,Electric vehicle,2,Very comfortable,1,0,0,0,0,0,0,Willing if anonymized,2,0,1,1,0,0,0,0,Free only,Zero,No premium,3,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3,Yes-love it,3,Care but not central,Loss motivated (lose coins),Check occasionally,Joint with spouse,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0.3805,0.2522,0.1113,0.4018
GL2024454,45-54,Male,Rural,High school or below,Self-employed,30k-60k,1,1,0,0,1,0,0,0,0,Never,Two-wheeler,2,Very comfortable,1,0,0,0,1,0,0,Willing if improves rewards,2,0,0,0,0,0,0,0,100-199/mo,Under 500,No premium,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,Not interested,2,Aware not priority,Gain motivated (earn coins),Rarely check,Decide for household,0,0,0,0,1,1,0,0,1,253.0,148.0,0,0.12,0.0407,0.1709,0.0728
GL2024455,35-44,Male,Rural,High school or below,Business owner,15k-30k,2,0,0,0,1,0,0,0,0,Occasionally,Personal car/SUV,1,Somewhat comfortable,0,0,0,0,1,0,0,Willing if improves rewards,1,0,1,0,0,0,0,0,Up to 49/mo,Under 500,Up to 20% more,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,No-prefer solo,2,Aware not priority,Loss motivated (lose coins),Check occasionally,Decide for household,0,0,0,0,0,0,0,0,0,250.0,24.0,0,0.2702,0.1583,0.2641,0.0741
GL2024456,45-54,Male,Rural,High school or below,Self-employed,15k-30k,2,0,1,0,0,0,0,1,0,Frequently,Cycling/Walking,1,Not comfortable,0,0,0,0,0,0,1,Fully willing,2,0,0,0,0,0,0,0,50-99/mo,3000-6000,Up to 5% more,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,Maybe depends,3,Not relevant,Loss motivated (lose coins),Actively track,Decide for household,0,0,0,0,0,0,0,0,0,3642.0,79.0,0,0.2848,0.2186,0.0422,0.1703
GL2024457,25-34,Female,Metro,High school or below,Salaried-Private,1L-2L,3,0,1,1,1,1,0,1,0,Occasionally,Bus/Auto,3,Very comfortable,1,0,0,1,0,0,0,Willing if improves rewards,4,1,0,0,0,0,1,1,Up to 49/mo,500-1500,No premium,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,No-prefer solo,6,Core identity,Loss motivated (lose coins),Rarely check,Decide independently,0,0,0,0,0,0,1,1,0,852.0,25.0,0,0.7119,0.4798,0.6086,0.2756
GL2024458,18-24,Female,Rural,High school or below,Business owner,15k-30k,2,0,0,0,0,1,0,0,0,Never,Two-wheeler,2,Very comfortable,1,0,0,0,0,0,0,Not willing,3,1,0,1,0,0,0,0,Up to 49/mo,Zero,Up to 20% more,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,Maybe depends,2,Aware not priority,Neither,Check occasionally,Decide independently,0,1,0,0,0,0,0,0,1,0.0,28.0,0,0.3261,0.3856,0.2132,0.2342
GL2024459,25-34,Female,Metro,Postgraduate,Self-employed,30k-60k,3,0,1,1,1,0,1,0,0,Rarely,Metro/Train,4,Somewhat comfortable,1,1,0,0,0,0,0,Not willing,2,1,0,0,1,0,0,1,Up to 49/mo,Zero,Up to 5% more,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,No-prefer solo,5,Core identity,Loss motivated (lose coins),Rarely check,Joint with spouse,1,0,0,0,1,0,0,0,0,0.0,27.0,0,0.501,0.6489,0.3925,0.3971
GL2024460,25-34,Male,Rural,High school or below,Salaried-Private,30k-60k,2,0,1,0,0,0,0,0,0,Rarely,Two-wheeler,1,Somewhat comfortable,0,1,0,1,1,1,0,Willing if improves rewards,2,0,0,1,0,0,0,0,100-199/mo,500-1500,No premium,3,0,1,1,0,0,0,0,1,1,1,1,0,0,0,2,No-prefer solo,1,Core identity,Both equal,Strategically maximise,Joint with spouse,1,0,0,0,0,0,0,1,0,998.0,161.0,0,0.4039,0.2548,0.2301,0.0816
GL2024461,25-34,Male,Metro,Postgraduate,Salaried-Private,60k-1L,2,1,0,0,0,0,0,0,0,Rarely,Metro/Train,1,Somewhat comfortable,1,0,0,0,0,1,0,Fully willing,3,1,0,0,1,0,0,1,100-199/mo,Under 500,Up to 10% more,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,Maybe depends,3,Care but not central,Neither,Check occasionally,Decide independently,0,1,1,0,0,0,0,0,1,285.0,198.0,0,0.6531,0.279,0.497,0.0
GL2024462,18-24,Female,Rural,High school or below,Salaried-Private,15k-30k,1,0,0,0,1,0,0,1,0,Rarely,Two-wheeler,2,Very comfortable,1,0,1,1,0,0,0,Not willing,2,0,0,0,0,1,1,0,Free only,1500-3000,Up to 5% more,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,No-prefer solo,2,Care but not central,Loss motivated (lose coins),Rarely check,Joint with parents,1,0,1,0,0,0,0,0,1,2121.0,0.0,0,0.4556,0.1512,0.2505,0.2607
GL2024463,18-24,Male,Tier-2,High school or below,Student,Below 15k,4,0,0,0,0,0,0,0,1,Occasionally,Two-wheeler,3,Very comfortable,0,1,0,1,1,0,0,Fully willing,3,1,0,0,0,0,0,0,50-99/mo,500-1500,Up to 20% more,3,1,0,0,1,0,0,0,1,1,1,1,0,0,0,2,Maybe depends,3,Care but not central,Loss motivated (lose coins),Actively track,Decide for household,0,0,0,0,1,0,0,1,1,815.0,74.0,0,0.4766,0.5315,0.1354,0.3596
GL2024464,35-44,Female,Tier-3,Postgraduate,Salaried-Govt,Below 15k,3,0,0,0,0,0,0,1,0,Frequently,Two-wheeler,2,Somewhat comfortable,0,0,0,1,0,0,0,Not willing,1,0,1,0,0,0,0,0,Free only,Under 500,Up to 20% more,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,Maybe depends,3,Care but not central,Gain motivated (earn coins),Check occasionally,Decide for household,1,0,0,1,0,0,0,0,0,273.0,0.0,0,0.3932,0.2911,0.2443,0.2379
GL2024465,55+,Male,Tier-2,High school or below,Retired,15k-30k,2,1,0,0,1,0,0,0,0,Occasionally,Personal car/SUV,1,Very comfortable,0,0,0,1,0,0,0,Not willing,2,0,0,1,0,0,0,0,100-199/mo,Under 500,Up to 20% more,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,Not interested,1,Aware not priority,Loss motivated (lose coins),Rarely check,Joint with spouse,1,0,0,0,0,0,0,0,1,261.0,153.0,0,0.2832,0.1578,0.0861,0.1296
GL2024466,25-34,Male,Rural,High school or below,Salaried-Govt,15k-30k,2,0,1,1,1,0,0,0,0,Occasionally,Bus/Auto,1,Not comfortable,0,0,0,0,1,1,0,Fully willing,1,0,1,1,1,0,0,0,Free only,500-1500,Up to 5% more,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,2,Yes-love it,0,Core identity,Gain motivated (earn coins),Rarely check,Decide independently,0,0,0,1,1,0,0,0,1,920.0,0.0,1,0.1896,0.1452,0.1631,0.3159
GL2024467,18-24,Male,Tier-3,Undergraduate,Student,30k-60k,2,0,0,0,0,0,0,0,1,Occasionally,Two-wheeler,2,Very comfortable,1,1,0,1,1,0,0,Willing if anonymized,4,0,0,0,0,0,0,0,50-99/mo,500-1500,Up to 5% more,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Maybe depends,3,Aware not priority,Gain motivated (earn coins),Check occasionally,Joint with parents,1,1,0,0,0,0,0,0,1,1039.0,64.0,0,0.5578,0.1103,0.3122,0.2263
GL2024468,25-34,Female,Metro,Postgraduate,Student,60k-1L,2,0,0,1,0,0,0,0,0,Never,Personal car/SUV,2,Very comfortable,1,1,0,0,0,0,0,Willing if improves rewards,2,1,0,0,1,0,0,0,100-199/mo,1500-3000,Price irrelevant,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,No-prefer solo,5,Core identity,Loss motivated (lose coins),Check occasionally,Joint with spouse,0,0,0,0,0,0,0,1,0,2273.0,115.0,0,0.5539,0.3762,0.5506,0.3509
GL2024469,55+,Male,Rural,Undergraduate,Salaried-Private,Below 15k,2,0,0,1,0,0,0,0,0,Rarely,Cycling/Walking,1,Somewhat comfortable,0,1,0,1,0,0,0,Willing if improves rewards,2,1,0,0,0,0,0,0,50-99/mo,Under 500,Up to 20% more,3,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,Not interested,1,Aware not priority,Loss motivated (lose coins),Actively track,Someone else decides,0,1,1,0,0,0,0,0,0,241.0,76.0,0,0.2331,0.2203,0.2202,0.0049
GL2024470,55+,Male,Rural,Undergraduate,Salaried-Private,Below 15k,1,0,0,0,1,0,0,0,0,Always,Personal car/SUV,1,Somewhat comfortable,0,0,0,0,0,0,1,Willing if anonymized,2,1,0,1,0,0,0,0,Free only,Under 500,Up to 5% more,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,Not interested,0,Aware not priority,Both equal,Check occasionally,Joint with spouse,0,0,0,0,1,0,0,1,0,215.0,0.0,0,0.3609,0.0,0.0586,0.0924
GL2024471,25-34,Male,Metro,Postgraduate,Salaried-Private,60k-1L,2,1,1,0,1,0,0,0,0,Never,Bus/Auto,2,Somewhat comfortable,1,1,1,1,1,1,0,Willing if improves rewards,3,0,0,0,0,0,0,0,Up to 49/mo,Zero,Up to 5% more,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,Yes-love it,3,Care but not central,Loss motivated (lose coins),Actively track,Decide independently,0,0,0,1,0,0,1,0,1,0.0,24.0,0,0.6147,0.3681,0.4398,0.2496
GL2024472,45-54,Female,Metro,High school or below,Self-employed,30k-60k,3,1,0,1,0,0,0,0,0,Never,Metro/Train,3,Somewhat comfortable,1,0,0,0,0,0,0,Fully willing,3,0,0,1,1,0,0,0,Up to 49/mo,Under 500,Up to 10% more,2,1,0,1,0,0,0,0,1,1,0,0,1,1,0,2,Yes-love it,4,Not relevant,Loss motivated (lose coins),Check occasionally,Decide independently,1,0,0,1,0,0,0,0,0,312.0,24.0,0,0.395,0.4755,0.3047,0.378
GL2024473,35-44,Male,Tier-2,Postgraduate,Salaried-Private,1L-2L,3,1,1,0,1,0,0,1,0,Rarely,Metro/Train,2,Somewhat comfortable,0,1,0,1,1,1,0,Not willing,4,1,1,0,0,0,1,0,200-399/mo,Under 500,Up to 10% more,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,Maybe depends,3,Core identity,Gain motivated (earn coins),Strategically maximise,Decide independently,0,1,0,1,0,0,0,0,1,281.0,372.0,0,0.492,0.4226,0.6075,0.1613
GL2024474,25-34,Male,Tier-2,Postgraduate,Salaried-Private,15k-30k,2,1,1,1,0,1,0,0,0,Never,Electric vehicle,2,Somewhat comfortable,1,1,1,0,0,0,0,Not willing,2,0,0,0,1,0,0,1,Up to 49/mo,500-1500,Up to 5% more,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,Not interested,1,Care but not central,Gain motivated (earn coins),Check occasionally,Decide independently,0,0,1,0,0,0,0,1,0,814.0,25.0,0,0.3499,0.2137,0.2513,0.24
GL2024475,25-34,Female,Tier-3,Postgraduate,Salaried-Private,1L-2L,3,0,1,1,0,0,0,0,0,Frequently,Two-wheeler,3,Somewhat comfortable,1,1,0,0,1,1,0,Willing if anonymized,3,1,1,0,0,0,0,0,100-199/mo,500-1500,No premium,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,Yes-love it,5,Aware not priority,Loss motivated (lose coins),Rarely check,Joint with spouse,1,0,0,0,0,0,0,0,1,1025.0,130.0,1,0.6369,0.4724,0.4521,0.4409
GL2024476,35-44,Female,Rural,Doctoral,Business owner,Below 15k,3,0,0,0,0,0,0,0,1,Occasionally,Bus/Auto,2,Very comfortable,1,0,0,0,0,0,0,Not willing,2,1,0,1,0,0,0,1,50-99/mo,Under 500,Up to 10% more,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,Maybe depends,4,Care but not central,Both equal,Actively track,Decide independently,0,0,0,1,1,0,0,0,0,241.0,83.0,0,0.2456,0.343,0.0635,0.2631
GL2024477,35-44,Female,Tier-2,High school or below,Salaried-Private,60k-1L,2,1,0,0,0,1,0,0,0,Occasionally,Two-wheeler,2,Very comfortable,1,1,1,1,1,0,0,Willing if improves rewards,4,0,1,0,1,0,0,1,Free only,Zero,Up to 5% more,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,No-prefer solo,2,Not relevant,Gain motivated (earn coins),Check occasionally,Decide independently,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0.5194,0.4072,0.1006,0.2424
GL2024478,18-24,Female,Tier-2,Postgraduate,Salaried-Private,30k-60k,3,1,1,0,0,0,0,0,0,Frequently,Electric vehicle,3,Very comfortable,1,0,0,1,1,1,0,Willing if improves rewards,3,0,0,0,0,0,0,0,Up to 49/mo,Under 500,Up to 5% more,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,No-prefer solo,4,Aware not priority,Neither,Check occasionally,Decide independently,0,0,1,0,0,0,1,0,1,263.0,19.0,0,0.5702,0.4596,0.4058,0.506
GL2024479,25-34,Female,Tier-3,High school or below,Student,30k-60k,1,0,1,0,0,1,0,0,0,Rarely,Bus/Auto,1,Very comfortable,0,0,0,1,0,1,0,Not willing,1,0,0,0,1,0,0,0,Free only,Under 500,Up to 5% more,4,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,Yes-love it,1,Core identity,Both equal,Check occasionally,Joint with spouse,0,0,0,0,0,0,0,1,1,284.0,0.0,0,0.2864,0.2335,0.2061,0.3405
GL2024480,35-44,Male,Tier-3,Undergraduate,Self-employed,30k-60k,1,1,1,0,1,1,0,0,0,Frequently,Two-wheeler,2,Somewhat comfortable,1,0,1,0,0,0,0,Willing if anonymized,1,0,0,0,0,1,0,0,100-199/mo,1500-3000,Price irrelevant,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,No-prefer solo,2,Not relevant,Gain motivated (earn coins),Rarely check,Joint with spouse,0,1,0,0,1,0,0,0,1,2201.0,191.0,0,0.3232,0.1732,0.2945,0.1232
GL2024481,45-54,Male,Tier-2,High school or below,Self-employed,15k-30k,2,1,0,0,1,1,0,0,0,Never,Personal car/SUV,1,Not comfortable,0,0,0,0,0,0,1,Fully willing,2,1,0,0,1,0,0,0,Up to 49/mo,1500-3000,Up to 20% more,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Yes-love it,0,Care but not central,Gain motivated (earn coins),Check occasionally,Decide independently,0,1,0,1,0,0,0,0,1,2008.0,29.0,0,0.2069,0.0872,0.2498,0.1974
GL2024482,55+,Male,Rural,High school or below,Retired,15k-30k,2,0,0,1,1,0,0,0,0,Occasionally,Cycling/Walking,2,Not comfortable,1,0,0,0,1,0,0,Willing if improves rewards,1,0,0,0,0,1,0,0,Free only,Above 6000,No premium,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Maybe depends,1,Aware not priority,Loss motivated (lose coins),Actively track,Decide for household,0,0,1,0,0,1,0,0,1,8238.0,0.0,0,0.207,0.1714,0.1709,0.1571
GL2024483,18-24,Female,Tier-3,Postgraduate,Retired,Below 15k,3,0,1,0,1,0,0,0,0,Occasionally,Two-wheeler,2,Somewhat comfortable,1,0,0,1,1,1,0,Willing if anonymized,3,0,0,1,0,0,0,0,Up to 49/mo,Zero,Up to 20% more,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,No-prefer solo,3,Core identity,Loss motivated (lose coins),Check occasionally,Joint with parents,0,0,1,0,0,0,0,1,0,0.0,25.0,0,0.5473,0.4175,0.0281,0.3177
GL2024484,18-24,Male,Tier-3,Undergraduate,Homemaker,60k-1L,2,1,0,1,1,1,0,0,0,Frequently,Work from home,2,Somewhat comfortable,1,0,0,0,1,1,0,Willing if anonymized,2,0,1,1,1,0,0,0,50-99/mo,Under 500,No premium,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,Maybe depends,1,Core identity,Loss motivated (lose coins),Rarely check,Someone else decides,1,1,0,0,0,0,0,0,1,261.0,61.0,0,0.5185,0.2205,0.2867,0.1947
GL2024485,35-44,Non-binary/Other,Tier-2,Undergraduate,Salaried-Private,60k-1L,1,1,1,0,0,0,1,0,0,Always,Bus/Auto,2,Very comfortable,1,1,0,1,1,1,0,Willing if improves rewards,1,0,0,0,0,0,0,0,Free only,1500-3000,Up to 5% more,3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,No-prefer solo,1,Aware not priority,Gain motivated (earn coins),Actively track,Decide independently,0,1,0,0,0,0,0,0,0,2492.0,0.0,0,0.3488,0.1554,0.4281,0.1614
GL2024486,18-24,Male,Rural,High school or below,Student,60k-1L,1,0,1,1,0,0,0,1,0,Rarely,Two-wheeler,2,Somewhat comfortable,1,0,1,0,0,0,0,Not willing,2,1,0,0,0,0,0,0,100-199/mo,500-1500,Up to 5% more,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Yes-love it,5,Aware not priority,Neither,Check occasionally,Joint with parents,0,1,0,0,0,0,1,0,1,860.0,128.0,0,0.341,0.1216,0.2157,0.2607
GL2024487,18-24,Male,Tier-3,High school or below,Student,Below 15k,2,1,0,0,0,0,0,0,0,Rarely,Bus/Auto,1,Very comfortable,1,1,0,0,1,0,0,Willing if improves rewards,2,1,0,0,1,1,0,0,Free only,Zero,Price irrelevant,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,Not interested,2,Not relevant,Neither,Actively track,Someone else decides,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.4356,0.1613,0.0759,0.189
GL2024488,25-34,Male,Tier-3,High school or below,Self-employed,15k-30k,2,0,1,1,0,0,1,0,0,Rarely,Bus/Auto,2,Somewhat comfortable,1,0,0,1,1,1,0,Willing if anonymized,2,0,1,1,0,0,0,0,Free only,Zero,No premium,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Yes-love it,0,Aware not priority,Both equal,Strategically maximise,Decide independently,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.1977,0.2805,0.049,0.0883
GL2024489,45-54,Male,Tier-2,High school or below,Self-employed,1L-2L,2,1,0,1,0,0,0,0,0,Rarely,Bus/Auto,3,Very comfortable,1,0,1,0,0,0,0,Willing if anonymized,2,1,0,1,0,0,0,0,Up to 49/mo,1500-3000,Up to 10% more,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,Yes-love it,4,Aware not priority,Gain motivated (earn coins),Strategically maximise,Decide for household,0,0,1,0,0,0,0,0,1,2301.0,24.0,0,0.2237,0.2346,0.4609,0.1881
GL2024490,18-24,Male,Rural,High school or below,Student,30k-60k,1,1,0,0,0,0,0,0,0,Occasionally,Electric vehicle,2,Very comfortable,1,0,1,1,0,0,0,Not willing,2,0,0,0,0,0,0,1,Free only,Under 500,Up to 10% more,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Not interested,2,Core identity,Neither,Rarely check,Decide independently,0,1,0,0,0,1,0,0,1,205.0,0.0,0,0.3829,0.1762,0.162,0.1795
GL2024491,35-44,Male,Metro,Postgraduate,Business owner,30k-60k,4,0,0,0,0,0,0,0,1,Never,Bus/Auto,2,Very comfortable,1,1,0,1,1,0,0,Willing if anonymized,3,0,0,0,0,0,0,0,50-99/mo,3000-6000,Up to 20% more,3,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,Yes-love it,3,Care but not central,Loss motivated (lose coins),Check occasionally,Decide independently,1,1,0,0,0,0,0,0,1,4481.0,94.0,0,0.5055,0.5069,0.4562,0.2422
GL2024492,45-54,Female,Tier-3,High school or below,Salaried-Govt,30k-60k,5,1,0,1,0,0,0,0,0,Occasionally,Two-wheeler,1,Not comfortable,0,0,0,1,0,1,0,Willing if anonymized,3,1,0,0,0,0,0,0,Up to 49/mo,1500-3000,Up to 10% more,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,Maybe depends,1,Aware not priority,Loss motivated (lose coins),Strategically maximise,Decide independently,0,0,0,0,0,0,0,1,0,2074.0,19.0,1,0.3659,0.2421,0.1704,0.3504
GL2024493,55+,Female,Tier-3,High school or below,Salaried-Govt,15k-30k,3,1,1,1,1,1,0,0,0,Frequently,Bus/Auto,2,Somewhat comfortable,1,0,0,1,0,0,0,Willing if anonymized,2,0,0,0,0,0,0,1,Free only,Zero,No premium,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,Maybe depends,3,Care but not central,Gain motivated (earn coins),Rarely check,Joint with spouse,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0.1431,0.3059,0.3053,0.2922
GL2024494,18-24,Female,Tier-2,High school or below,Business owner,30k-60k,2,1,0,0,0,0,0,0,0,Never,Two-wheeler,3,Not comfortable,1,1,0,0,1,1,0,Willing if anonymized,3,1,0,1,0,0,1,0,100-199/mo,Under 500,Up to 10% more,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,Yes-love it,3,Care but not central,Gain motivated (earn coins),Strategically maximise,Joint with parents,0,0,0,0,0,1,0,1,0,299.0,125.0,0,0.5498,0.3329,0.3108,0.254
GL2024495,35-44,Female,Tier-3,High school or below,Business owner,30k-60k,2,0,1,1,1,1,0,0,0,Rarely,Two-wheeler,2,Very comfortable,0,0,1,0,1,0,0,Willing if anonymized,2,0,0,1,0,1,0,1,Free only,Under 500,Up to 10% more,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,Maybe depends,2,Care but not central,Loss motivated (lose coins),Check occasionally,Decide for household,0,1,0,1,0,0,0,0,1,221.0,0.0,0,0.1721,0.1836,0.1433,0.3
GL2024496,55+,Male,Tier-2,Undergraduate,Business owner,15k-30k,2,0,0,1,0,0,0,0,0,Never,Cycling/Walking,2,Very comfortable,0,0,1,0,0,0,0,Fully willing,2,1,0,1,1,0,0,0,Up to 49/mo,Zero,Up to 5% more,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Maybe depends,4,Not relevant,Both equal,Strategically maximise,Decide for household,0,0,0,0,0,0,1,0,0,0.0,27.0,0,0.2861,0.2196,0.343,0.1989
